DataJamID,FACILITYTYPEID,YEARCOMPLETED,CENSUSDIVISIONID,GROSSFLOORAREA,NUMFLOORS,WALLTYPEID,WINDOWGLASSTYPE,ATTICINSTHICKNESS,WALLINSTHICKNESS,ZIPCODE,CLIMATEZONEID,ASSET_HEATING_FUEL_ID,HEATING_SYS,HEATINGSYST_EFF,HEATINGSYST_EFF_FLAG,ASSET_COOLING_FUEL_ID,COOLING_SYS,COOLINGSYST_EFF,COOLINGSYST_EFF_FLAG
1,1,1970,,2733,1,,,,,32603,,2,4,,,2,19,6,
2,1,1973,,3948,3,,,,,32607,,2,4,,,2,19,6,
3,1,1975,,1676,1,,,,,32605,,2,4,,,2,19,6,
4,1,1975,,1656,1,,,,,32605,,2,4,,,2,19,6,
5,1,1978,,1612,2,,,,,32601,,2,4,,,2,19,6,
6,1,1961,,920,1,,,,,32609,,1,1,,,2,19,6,
7,1,1984,,760,1,,,,,32641,,1,1,,,,,,
8,1,1967,,1457,1,,,,,32603,,2,4,,,2,19,6,
9,1,1960,,1092,1,,,,,32609,,1,1,,,2,19,6,
10,1,2006,,2419,1,,,,,32606,,1,1,,,2,19,12,
11,1,1963,,1196,1,,,,,32609,,1,1,,,,,,
12,1,1970,,2570,3,,,,,32605,,1,1,,,2,19,6,
13,1,1975,,3561,1,,,,,32605,,2,4,,,2,19,6,
14,1,1976,,2512,1,,,,,32605,,2,4,,,2,19,6,
15,1,1981,,1484,1,,,,,32605,,2,4,,,2,19,7,
16,1,1978,,1440,1,,,,,32605,,2,4,,,2,19,6,
17,1,1999,,1744,1,,,,,32606,,2,4,,,2,19,10,
18,1,1969,,1088,1,,,,,32641,,2,4,,,2,19,6,
19,1,1987,,976,1,,,,,32607,,2,4,,,2,19,8,
20,1,1975,,2378,1,,,,,32607,,2,4,,,2,19,6,
21,1,1961,,1602,1,,,,,32609,,2,4,,,2,19,6,
22,1,1960,,1261,1,,,,,32609,,2,4,,,2,19,6,
23,1,1975,,3100,1,,,,,32605,,1,1,,,2,19,6,
24,1,1974,,2375,2,,,,,32605,,1,1,,,2,19,6,
25,1,1966,,2638,1,,,,,32605,,1,1,,,2,19,6,
26,1,1980,,1853,1,,,,,32605,,2,4,,,2,19,13,
27,1,1976,,1674,1,,,,,32605,,2,4,,,2,19,6,
28,1,1976,,2889,3,,,,,32605,,2,4,,,2,19,6,
29,1,1978,,1457,1,,,,,32605,,2,4,,,2,19,6,
30,1,1981,,1581,1,,,,,32605,,2,4,,,2,19,7,
31,1,1993,,2340,2,,,,,32607,,2,4,,,2,19,10,
32,1,1970,,1714,1,,,,,32603,,2,4,,,2,19,6,
33,1,1972,,1008,1,,,,,32641,,1,1,,,2,19,6,
34,1,1985,,951,1,,,,,32605,,2,4,,,,,,
35,1,1994,,2790,1,,,,,32607,,1,1,,,2,19,10,
36,1,1987,,999,1,,,,,32607,,2,4,,,2,19,8,
37,1,1993,,2429,1,,,,,32607,,2,4,,,2,19,10,
38,1,1986,,1411,1,,,,,32607,,2,4,,,2,19,8,
39,1,1960,,1401,1,,,,,32607,,2,4,,,2,19,6,
40,1,1973,,888,1,,,,,32641,,2,4,,,,,,
41,1,1968,,1077,1,,,,,32609,,1,1,,,2,19,6,
42,1,1979,,3220,1,,,,,32605,,2,4,,,2,19,6,
43,1,1970,,2196,1,,,,,32605,,2,4,,,2,19,6,
44,1,1967,,1386,1,,,,,32605,,2,4,,,2,19,6,
45,1,1964,,1104,1,,,,,32605,,2,4,,,2,19,6,
46,1,1966,,1016,1,,,,,32605,,2,4,,,2,19,6,
47,1,1971,,1555,1,,,,,32605,,2,4,,,2,19,6,
48,1,1976,,2014,1,,,,,32605,,2,4,,,2,19,6,
49,1,1970,,2496,1,,,,,32603,,2,4,,,2,19,6,
50,1,1968,,1619,1,,,,,32605,,2,4,,,2,19,6,
51,1,2004,,1681,1,,,,,32606,,2,4,,,2,19,10,
52,1,1974,,1270,1,,,,,32609,,1,1,,,2,19,6,
53,1,1968,,1060,1,,,,,32609,,2,4,,,2,19,6,
54,1,1965,,1431,1,,,,,32609,,1,1,,,2,19,6,
55,1,1990,,2877,1,,,,,32607,,2,4,,,2,19,8,
56,1,1979,,896,1,,,,,32641,,2,4,,,,,,
57,1,1960,,1908,1,,,,,32609,,1,1,,,2,19,6,
58,1,1965,,2318,1,,,,,32609,,2,4,,,2,19,6,
59,1,1970,,3184,1,,,,,32605,,1,1,,,2,19,6,
60,1,1959,,930,1,,,,,32605,,2,4,,,,,,
61,1,1968,,1431,1,,,,,32605,,2,4,,,2,19,6,
62,1,1973,,1544,1,,,,,32603,,2,4,,,2,19,6,
63,1,2004,,1778,1,,,,,32606,,2,4,,,2,19,10,
64,1,1996,,1883,1,,,,,32606,,1,1,,,2,19,10,
65,1,1987,,1074,1,,,,,32607,,2,4,,,2,19,8,
66,1,1956,,1170,1,,,,,32609,,2,4,,,,,,
67,1,1965,,1454,1,,,,,32609,,2,4,,,2,19,6,
68,1,1974,,2222,3,,,,,32605,,1,1,,,2,19,6,
69,1,1965,,2712,3,,,,,32605,,1,1,,,2,19,6,
70,1,1971,,2371,3,,,,,32605,,1,1,,,2,19,6,
71,1,1986,,2185,3,,,,,32605,,1,1,,,2,19,8,
72,1,1978,,1846,1,,,,,32605,,2,4,,,2,19,6,
73,1,1977,,1696,1,,,,,32605,,2,4,,,2,19,6,
74,1,1978,,1800,1,,,,,32605,,2,4,,,2,19,6,
75,1,1964,,1505,1,,,,,32609,,1,1,,,2,19,6,
76,1,1992,,2121,1,,,,,32607,,2,4,,,2,19,10,
77,1,2005,,2707,2,,,,,32606,,1,1,,,2,19,12,
78,1,1994,,2264,1,,,,,32607,,1,1,,,2,19,10,
79,1,1990,,2494,,,,,,32607,,2,4,,,2,19,8,
80,1,1984,,2524,1,,,,,32605,,1,1,,,2,19,7,
81,1,1975,,1980,1,,,,,32607,,1,1,,,2,19,6,
82,1,1980,,2123,2,,,,,32607,,2,4,,,2,19,13,
83,1,1963,,1008,1,,,,,32609,,1,1,,,2,19,6,
84,1,1960,,1040,1,,,,,32609,,1,1,,,2,19,6,
85,1,1965,,1118,1,,,,,32609,,1,1,,,2,19,6,
86,1,1965,,1341,1,,,,,32605,,1,1,,,2,19,6,
87,1,1970,,1520,1,,,,,32603,,2,4,,,2,19,6,
88,1,1967,,720,1,,,,,32605,,2,4,,,2,19,6,
89,1,1970,,1490,1,,,,,32603,,2,4,,,2,19,6,
90,1,1987,,1055,1,,,,,32607,,2,4,,,2,19,8,
91,1,1975,,2184,1,,,,,32605,,1,1,,,2,19,6,
92,1,1969,,1892,1,,,,,32605,,2,4,,,2,19,6,
93,1,1998,,1222,1,,,,,32607,,2,4,,,2,19,10,
94,1,1970,,2296,1,,,,,32605,,1,1,,,2,19,6,
95,1,1975,,3417,1,,,,,32605,,1,1,,,2,19,6,
96,1,1975,,1100,1,,,,,32605,,2,4,,,2,19,6,
97,1,1988,,1044,1,,,,,32607,,2,4,,,2,19,8,
98,1,1965,,500,1,,,,,32605,,2,4,,,,,,
99,1,1987,,1108,1,,,,,32607,,2,4,,,2,19,8,
100,1,1962,,1937,1,,,,,32609,,1,1,,,2,19,6,
101,1,1969,,396,1,,,,,32605,,2,4,,,,,,
102,1,1970,,2127,1,,,,,32603,,1,1,,,2,19,6,
103,1,1963,,1615,1,,,,,32609,,1,1,,,2,19,6,
104,1,1962,,1625,1,,,,,32609,,1,1,,,2,19,6,
105,1,1994,,1158,1,,,,,32607,,2,4,,,2,19,10,
106,1,1974,,936,1,,,,,32641,,2,4,,,2,19,6,
107,1,1976,,1224,1,,,,,32607,,2,4,,,,,,
108,1,1986,,2010,1,,,,,32607,,2,4,,,2,19,8,
109,1,1962,,993,1,,,,,32641,,2,4,,,2,19,6,
110,1,1969,,2450,1,,,,,32641,,2,4,,,2,19,6,
111,1,2005,,3046,1,,,,,32606,,1,1,,,2,19,12,
112,1,1974,,2435,1,,,,,32605,,2,4,,,2,19,6,
113,1,1978,,875,1,,,,,32605,,2,4,,,2,19,6,
114,1,1977,,1100,1,,,,,32605,,2,4,,,2,19,6,
115,1,1969,,1075,1,,,,,32609,,1,1,,,2,19,6,
116,1,1970,,2962,1,,,,,32605,,1,1,,,2,19,6,
117,1,2005,,1807,1,,,,,32606,,1,1,,,2,19,12,
118,1,1970,,2751,1,,,,,32605,,1,1,,,2,19,6,
119,1,1975,,2352,3,,,,,32605,,1,1,,,2,19,6,
120,1,1995,,1158,1,,,,,32607,,2,4,,,2,19,10,
121,1,2004,,1807,1,,,,,32606,,1,1,,,2,19,10,
122,1,1987,,1020,1,,,,,32607,,2,4,,,2,19,8,
123,1,1984,,2042,1,,,,,32605,,1,1,,,2,19,7,
124,1,1994,,1158,1,,,,,32607,,2,4,,,2,19,10,
125,1,1955,,2723,2,,,,,32601,,2,4,,,2,19,6,
126,1,1969,,1862,2,,,,,32601,,1,1,,,,,,
127,1,1985,,3732,1,,,,,32607,,2,4,,,2,19,7,
128,1,1967,,993,1,,,,,32641,,2,4,,,,,,
129,1,1962,,1066,1,,,,,32641,,2,4,,,,,,
130,1,1976,,2600,3,,,,,32605,,1,1,,,2,19,6,
131,1,1977,,1640,1,,,,,32605,,2,4,,,2,19,6,
132,1,1977,,2204,2,,,,,32605,,2,4,,,2,19,6,
133,1,1969,,1976,1,,,,,32605,,2,4,,,2,19,6,
134,1,1972,,1917,1,,,,,32605,,2,4,,,2,19,6,
135,1,1997,,2592,2,,,,,32606,,1,1,,,2,19,10,
136,1,1987,,976,1,,,,,32607,,2,4,,,2,19,8,
137,1,2006,,3193,2,,,,,32606,,1,1,,,2,19,12,
138,1,1981,,2930,3,,,,,32605,,1,1,,,2,19,7,
139,1,1970,,2261,1,,,,,32605,,2,4,,,2,19,6,
140,1,1974,,1756,1,,,,,32605,,1,1,,,2,19,6,
141,1,1966,,2734,2,,,,,32605,,2,4,,,2,19,6,
