DataJamID,YEAR,AnnualElec_kWh
1,2010,19703
2,2010,19004
3,2010,11018
4,2010,9901
5,2010,6614
7,2010,5944
8,2010,7845
10,2010,6777
12,2010,21842
13,2010,27850
14,2010,20747
15,2010,1804
16,2010,4916
17,2010,13502
18,2010,18845
19,2010,11416
20,2010,23527
22,2010,7318
23,2010,23844
24,2010,5897
25,2010,7738
26,2010,13731
27,2010,10024
28,2010,21300
29,2010,4227
30,2010,8845
31,2010,12596
32,2010,6088
33,2010,8162
34,2010,4443
35,2010,19733
36,2010,8148
37,2010,6051
38,2010,24055
39,2010,20243
42,2010,16265
43,2010,19869
44,2010,10856
46,2010,10009
47,2010,12894
48,2010,11640
49,2010,21276
50,2010,15065
51,2010,12148
53,2010,8418
54,2010,13991
56,2010,4863
57,2010,5744
58,2010,14490
59,2010,20781
60,2010,8207
61,2010,9451
62,2010,12534
63,2010,15129
64,2010,20556
65,2010,19113
66,2010,10235
67,2010,8174
68,2010,8123
69,2010,15409
70,2010,22892
71,2010,12263
72,2010,10566
73,2010,9081
74,2010,12419
75,2010,5925
76,2010,11073
78,2010,20882
79,2010,12191
81,2010,11732
82,2010,17145
86,2010,7853
87,2010,14072
88,2010,9486
89,2010,7411
90,2010,9949
91,2010,8224
92,2010,20940
93,2010,11274
94,2010,11386
95,2010,20963
96,2010,15027
97,2010,7844
98,2010,3720
99,2010,13111
101,2010,8531
102,2010,27549
105,2010,13508
106,2010,6923
107,2010,16773
108,2010,18224
109,2010,21537
110,2010,16893
111,2010,9787
112,2010,18181
113,2010,9811
114,2010,9181
115,2010,6621
116,2010,13034
117,2010,12611
118,2010,22517
119,2010,10257
120,2010,21628
121,2010,10875
122,2010,9119
123,2010,8664
124,2010,12401
125,2010,21797
126,2010,14571
127,2010,27176
128,2010,12520
129,2010,11906
130,2010,23175
131,2010,9956
132,2010,15042
133,2010,11944
134,2010,25539
135,2010,14712
136,2010,10156
137,2010,16470
138,2010,12970
139,2010,22005
140,2010,12316
141,2010,12759
142,2010,22692
143,2010,13294
144,2010,8785
145,2010,22992
146,2010,9932
147,2010,22764
148,2010,14357
149,2010,6430
153,2010,10999
154,2010,19909
155,2010,6116
156,2010,20136
157,2010,21519
158,2010,8522
159,2010,10805
160,2010,13699
163,2010,15067
164,2010,3670
166,2010,21160
168,2010,18090
169,2010,10795
170,2010,7942
172,2010,15540
173,2010,11843
174,2010,9629
175,2010,12778
176,2010,13371
177,2010,21247
178,2010,11175
179,2010,20766
180,2010,7206
181,2010,23678
182,2010,15748
183,2010,17118
184,2010,19207
186,2010,30506
187,2010,4707
188,2010,4510
189,2010,17213
190,2010,14785
191,2010,3246
192,2010,9181
193,2010,6364
194,2010,13552
195,2010,23747
196,2010,19840
197,2010,26809
198,2010,29361
199,2010,10500
200,2010,11859
201,2010,8769
202,2010,11432
203,2010,9230
206,2010,18477
207,2010,5900
208,2010,13331
209,2010,12986
210,2010,19233
211,2010,15652
212,2010,18474
213,2010,21277
214,2010,11521
215,2010,16503
216,2010,18661
220,2010,6456
221,2010,23413
222,2010,32926
223,2010,12921
224,2010,18653
225,2010,6261
226,2010,22354
227,2010,12526
