DataJamID,RECORD_ID,YEAR,MONTH,Gas_USE_kBtu
6,620782,2010,01,4200
6,620783,2010,02,1200
6,620784,2010,03,1400
6,620785,2010,05,1200
6,620786,2010,06,1800
6,620787,2010,08,1800
6,620788,2010,09,900
6,620789,2010,10,900
6,620790,2010,11,1300
6,620791,2010,12,3700
7,620792,2010,01,10800
7,620793,2010,02,7600
7,620794,2010,03,7100
7,620795,2010,04,1200
7,620796,2010,05,600
7,620797,2010,06,500
7,620798,2010,07,600
7,620799,2010,08,400
7,620800,2010,09,500
7,620801,2010,10,1200
7,620802,2010,11,3700
7,620803,2010,12,11000
9,620804,2010,01,14200
9,620805,2010,02,8600
9,620806,2010,03,5500
9,620807,2010,05,1600
9,620808,2010,06,2700
9,620809,2010,08,2600
9,620810,2010,09,1700
9,620811,2010,11,6800
9,620812,2010,12,8200
10,620813,2010,01,5600
10,620814,2010,02,3100
10,620815,2010,03,5100
10,620816,2010,04,1600
10,620817,2010,05,700
10,620818,2010,06,600
10,620819,2010,07,700
10,620820,2010,08,500
10,620821,2010,09,500
10,620822,2010,10,400
10,620823,2010,11,600
10,620824,2010,12,1600
11,620825,2010,01,1800
11,620826,2010,02,1600
11,620827,2010,03,2000
11,620828,2010,05,1800
11,620829,2010,06,2800
11,620830,2010,08,2600
11,620831,2010,09,900
11,620832,2010,10,800
11,620833,2010,11,600
11,620834,2010,12,900
12,620835,2010,01,5900
12,620836,2010,02,4300
12,620837,2010,03,8900
12,620838,2010,04,1800
12,620839,2010,05,1400
12,620840,2010,06,1300
12,620841,2010,07,1300
12,620842,2010,08,1300
12,620843,2010,09,1300
12,620844,2010,10,1200
12,620845,2010,11,1900
12,620846,2010,12,5000
23,620847,2010,01,13900
23,620848,2010,02,10800
23,620849,2010,03,19700
23,620850,2010,04,3800
23,620851,2010,11,3000
23,620852,2010,12,11500
24,620853,2010,01,10900
24,620854,2010,02,6000
24,620855,2010,03,8300
24,620856,2010,04,1400
24,620857,2010,05,800
24,620858,2010,06,200
24,620859,2010,07,400
24,620860,2010,08,300
24,620861,2010,09,400
24,620862,2010,10,500
24,620863,2010,11,600
24,620864,2010,12,6100
25,620865,2010,01,10500
25,620866,2010,02,3100
25,620867,2010,03,7900
25,620868,2010,11,100
25,620869,2010,12,2000
33,620870,2010,10,500
33,620871,2010,11,3000
33,620872,2010,12,9900
35,620873,2010,01,14900
35,620874,2010,02,8600
35,620875,2010,03,9500
35,620876,2010,04,3100
35,620877,2010,05,3200
35,620878,2010,06,1500
35,620879,2010,07,1400
35,620880,2010,08,1000
35,620881,2010,09,1200
35,620882,2010,10,1600
35,620883,2010,11,2900
35,620884,2010,12,8700
41,620885,2010,01,10700
41,620886,2010,02,9500
41,620887,2010,03,6800
41,620888,2010,05,1600
41,620889,2010,06,2100
41,620890,2010,08,1800
41,620891,2010,09,1000
41,620892,2010,10,1300
41,620893,2010,11,3300
41,620894,2010,12,8800
52,620895,2010,01,9000
52,620896,2010,02,8100
52,620897,2010,03,5600
52,620898,2010,05,100
52,620899,2010,11,2200
52,620900,2010,12,9100
54,620901,2010,01,8500
54,620902,2010,02,8100
54,620903,2010,03,8100
54,620904,2010,04,4200
54,620905,2010,05,1500
54,620906,2010,06,1000
54,620907,2010,07,700
54,620908,2010,08,800
54,620909,2010,09,700
54,620910,2010,10,800
54,620911,2010,11,1400
54,620912,2010,12,3600
57,620913,2010,01,17000
57,620914,2010,02,19200
57,620915,2010,03,17600
57,620916,2010,04,10500
57,620917,2010,05,1500
57,620918,2010,06,400
57,620919,2010,07,500
57,620920,2010,08,500
57,620921,2010,09,400
57,620922,2010,10,400
57,620923,2010,11,600
57,620924,2010,12,6700
59,620925,2010,01,12000
59,620926,2010,02,6600
59,620927,2010,03,10000
59,620928,2010,04,1500
59,620929,2010,05,1000
59,620930,2010,06,600
59,620931,2010,07,800
59,620932,2010,08,600
59,620933,2010,09,800
59,620934,2010,10,700
59,620935,2010,11,1300
59,620936,2010,12,4800
64,620937,2010,01,14000
64,620938,2010,02,8400
64,620939,2010,03,9400
64,620940,2010,04,3100
64,620941,2010,05,1600
64,620942,2010,06,1300
64,620943,2010,07,1300
64,620944,2010,08,1200
64,620945,2010,09,1400
64,620946,2010,10,1500
64,620947,2010,11,3500
64,620948,2010,12,8500
68,620949,2010,01,10600
68,620950,2010,02,7000
68,620951,2010,03,9600
68,620952,2010,04,4100
68,620953,2010,05,1400
68,620954,2010,06,800
68,620955,2010,07,1200
68,620956,2010,08,700
68,620957,2010,09,1000
68,620958,2010,10,1000
68,620959,2010,11,2300
68,620960,2010,12,5300
69,620961,2010,01,10200
69,620962,2010,02,7400
69,620963,2010,03,12400
69,620964,2010,04,2700
69,620965,2010,05,200
69,620966,2010,06,100
69,620967,2010,07,200
69,620968,2010,08,200
69,620969,2010,10,100
69,620970,2010,11,1000
69,620971,2010,12,5500
70,620972,2010,01,12300
70,620973,2010,02,3500
70,620974,2010,03,9800
70,620975,2010,04,300
70,620976,2010,05,200
70,620977,2010,06,100
70,620978,2010,07,200
70,620979,2010,08,100
70,620980,2010,09,100
70,620981,2010,10,200
70,620982,2010,11,700
70,620983,2010,12,4300
71,620984,2010,01,10900
71,620985,2010,02,5000
71,620986,2010,03,9000
71,620987,2010,04,2200
71,620988,2010,05,900
71,620989,2010,06,800
71,620990,2010,07,900
71,620991,2010,08,600
71,620992,2010,09,800
71,620993,2010,10,800
71,620994,2010,11,1300
71,620995,2010,12,4000
75,620996,2010,01,10000
75,620997,2010,02,12800
75,620998,2010,03,7200
75,620999,2010,04,2500
75,621000,2010,05,500
75,621001,2010,06,400
75,621002,2010,07,700
75,621003,2010,08,600
75,621004,2010,09,400
75,621005,2010,10,1300
75,621006,2010,11,1200
75,621007,2010,12,2300
77,621008,2010,01,23100
77,621009,2010,02,7500
77,621010,2010,03,13000
77,621011,2010,04,5300
77,621012,2010,05,3200
77,621013,2010,06,2400
77,621014,2010,07,2000
77,621015,2010,08,1900
77,621016,2010,09,1700
77,621017,2010,10,1700
77,621018,2010,11,3100
78,621019,2010,01,14700
78,621020,2010,02,11900
78,621021,2010,03,10200
78,621022,2010,04,4100
78,621023,2010,05,2600
78,621024,2010,06,1700
78,621025,2010,07,1600
78,621026,2010,08,1400
78,621027,2010,09,1600
78,621028,2010,10,1700
78,621029,2010,11,3100
78,621030,2010,12,10000
80,621031,2010,01,6000
80,621032,2010,02,1200
80,621033,2010,03,6200
80,621034,2010,04,200
80,621035,2010,11,800
81,621036,2010,01,15300
81,621037,2010,02,9200
81,621038,2010,03,11800
81,621039,2010,04,4500
81,621040,2010,11,1200
81,621041,2010,12,6900
83,621042,2010,01,8100
83,621043,2010,02,7500
83,621044,2010,03,6300
83,621045,2010,05,1500
83,621046,2010,06,1900
83,621047,2010,08,1900
83,621048,2010,09,900
83,621049,2010,10,1200
83,621050,2010,11,2400
83,621051,2010,12,9100
84,621052,2010,01,6500
84,621053,2010,02,5500
84,621054,2010,03,3200
84,621055,2010,05,1400
84,621056,2010,06,2200
84,621057,2010,08,2300
84,621058,2010,09,1300
84,621059,2010,10,1200
84,621060,2010,11,1800
84,621061,2010,12,7400
85,621062,2010,01,10200
85,621063,2010,02,9200
85,621064,2010,03,7200
85,621065,2010,05,900
85,621066,2010,06,1000
85,621067,2010,08,900
85,621068,2010,09,700
85,621069,2010,10,800
85,621070,2010,11,3800
85,621071,2010,12,11400
86,621072,2010,01,11500
86,621073,2010,02,7200
86,621074,2010,03,9500
86,621075,2010,04,2400
86,621076,2010,05,1700
86,621077,2010,06,1600
86,621078,2010,07,1900
86,621079,2010,08,1600
86,621080,2010,09,1800
86,621081,2010,10,1600
86,621082,2010,11,2800
86,621083,2010,12,7500
91,621084,2010,01,16800
91,621085,2010,02,9900
91,621086,2010,03,13800
91,621087,2010,04,4200
91,621088,2010,05,600
91,621089,2010,06,400
91,621090,2010,07,600
91,621091,2010,08,300
91,621092,2010,09,500
91,621093,2010,10,600
91,621094,2010,11,2700
91,621095,2010,12,7800
94,621096,2010,01,9000
94,621097,2010,02,4200
94,621098,2010,03,7500
94,621099,2010,04,1200
94,621100,2010,11,400
94,621101,2010,12,2300
95,621102,2010,01,19700
95,621103,2010,02,11400
95,621104,2010,03,17300
95,621105,2010,04,5300
95,621106,2010,06,100
95,621107,2010,08,100
95,621108,2010,09,100
95,621109,2010,11,1400
95,621110,2010,12,8700
100,621111,2010,01,9400
100,621112,2010,02,7200
100,621113,2010,03,5200
100,621114,2010,05,1300
100,621115,2010,06,1800
100,621116,2010,08,2100
100,621117,2010,09,800
100,621118,2010,10,900
100,621119,2010,11,2200
100,621120,2010,12,9700
102,621121,2010,01,2700
102,621122,2010,02,2900
102,621123,2010,03,2500
102,621124,2010,04,2900
102,621125,2010,05,1300
102,621126,2010,06,1400
102,621127,2010,07,1300
102,621128,2010,08,1400
102,621129,2010,09,1200
102,621130,2010,10,1500
102,621131,2010,11,2100
102,621132,2010,12,2700
103,621133,2010,01,16200
103,621134,2010,02,13700
103,621135,2010,03,10700
103,621136,2010,05,2100
103,621137,2010,06,3500
103,621138,2010,08,2700
103,621139,2010,09,1500
103,621140,2010,10,1700
103,621141,2010,11,6300
103,621142,2010,12,16800
104,621143,2010,01,3900
104,621144,2010,02,3200
104,621145,2010,03,3500
104,621146,2010,05,3200
104,621147,2010,06,4300
104,621148,2010,08,4400
104,621149,2010,09,1800
104,621150,2010,10,1900
104,621151,2010,11,2600
104,621152,2010,12,3700
111,621153,2010,01,10400
111,621154,2010,02,5400
111,621155,2010,03,8200
111,621156,2010,04,1900
111,621157,2010,05,1500
111,621158,2010,06,1400
111,621159,2010,07,1400
111,621160,2010,08,1000
111,621161,2010,09,1400
111,621162,2010,10,1300
111,621163,2010,11,1200
111,621164,2010,12,2600
115,621165,2010,01,4000
115,621166,2010,02,4400
115,621167,2010,03,2900
115,621168,2010,04,2200
115,621169,2010,05,700
115,621170,2010,06,600
115,621171,2010,07,700
115,621172,2010,08,600
115,621173,2010,09,600
115,621174,2010,10,600
115,621175,2010,11,700
115,621176,2010,12,2500
116,621177,2010,01,9500
116,621178,2010,02,4100
116,621179,2010,03,5900
116,621180,2010,04,1300
116,621181,2010,05,800
116,621182,2010,06,700
116,621183,2010,07,900
116,621184,2010,08,800
116,621185,2010,09,800
116,621186,2010,10,700
116,621187,2010,11,900
116,621188,2010,12,2300
117,621189,2010,01,8100
117,621190,2010,02,4800
117,621191,2010,03,6400
117,621192,2010,04,2800
117,621193,2010,05,1800
117,621194,2010,06,1300
117,621195,2010,07,1400
117,621196,2010,08,1200
117,621197,2010,09,1600
117,621198,2010,10,1600
117,621199,2010,11,1600
117,621200,2010,12,3300
118,621201,2010,01,10800
118,621202,2010,02,5000
118,621203,2010,03,9800
118,621204,2010,04,2000
118,621205,2010,05,900
118,621206,2010,06,700
118,621207,2010,07,700
118,621208,2010,08,500
118,621209,2010,09,800
118,621210,2010,10,800
118,621211,2010,11,1600
118,621212,2010,12,4500
119,621213,2010,01,17100
119,621214,2010,02,11000
119,621215,2010,03,15500
119,621216,2010,04,4600
119,621217,2010,05,1200
119,621218,2010,06,900
119,621219,2010,07,1000
119,621220,2010,08,800
119,621221,2010,09,900
119,621222,2010,10,900
119,621223,2010,11,2700
119,621224,2010,12,9700
121,621225,2010,01,6800
121,621226,2010,02,5000
121,621227,2010,03,7400
121,621228,2010,04,1600
121,621229,2010,05,900
121,621230,2010,06,700
121,621231,2010,07,700
121,621232,2010,08,600
121,621233,2010,09,800
121,621234,2010,10,700
121,621235,2010,11,1000
121,621236,2010,12,2600
123,621237,2010,01,6000
123,621238,2010,02,2100
123,621239,2010,03,4400
123,621240,2010,04,200
123,621241,2010,11,700
123,621242,2010,12,3300
126,621243,2010,01,5100
126,621244,2010,02,7500
126,621245,2010,03,5800
126,621246,2010,04,3000
126,621247,2010,05,2500
126,621248,2010,06,1500
126,621249,2010,07,1500
126,621250,2010,08,1500
126,621251,2010,09,800
126,621252,2010,10,1200
126,621253,2010,11,1300
126,621254,2010,12,1400
130,621255,2010,01,2800
130,621256,2010,02,1200
130,621257,2010,03,2100
130,621258,2010,04,300
130,621259,2010,05,100
130,621260,2010,06,300
130,621261,2010,07,200
130,621262,2010,08,200
130,621263,2010,09,100
130,621264,2010,10,200
130,621265,2010,11,400
130,621266,2010,12,800
135,620372,2010,01,14800
135,620373,2010,02,9600
135,620374,2010,03,10500
135,620375,2010,04,3200
135,620376,2010,05,1000
135,620377,2010,06,1000
135,620378,2010,07,1000
135,620379,2010,08,900
135,620380,2010,09,1000
135,620381,2010,10,800
135,620382,2010,11,2800
135,620383,2010,12,8800
137,620384,2010,01,17500
137,620385,2010,02,10500
137,620386,2010,03,12300
137,620387,2010,04,5600
137,620388,2010,05,1000
137,620389,2010,06,900
137,620390,2010,07,1200
137,620391,2010,08,1200
137,620392,2010,09,900
137,620393,2010,10,1000
137,620394,2010,11,1200
137,620395,2010,12,4400
138,620396,2010,01,1700
138,620397,2010,02,2400
138,620398,2010,03,2100
138,620399,2010,04,1900
138,620400,2010,05,1700
138,620401,2010,06,500
138,620402,2010,07,3100
138,620403,2010,08,1400
138,620404,2010,09,1500
138,620405,2010,10,600
138,620406,2010,11,2100
138,620407,2010,12,3100
140,620408,2010,01,12200
140,620409,2010,02,8800
140,620410,2010,03,12500
140,620411,2010,04,3500
140,620412,2010,05,1700
140,620413,2010,06,1500
140,620414,2010,07,1300
140,620415,2010,08,800
140,620416,2010,09,1400
140,620417,2010,10,1400
140,620418,2010,11,2200
140,620419,2010,12,5800
144,620420,2010,01,6500
144,620421,2010,02,1300
144,620422,2010,03,800
144,620423,2010,04,400
144,620424,2010,05,1300
144,620425,2010,06,700
144,620426,2010,07,2100
144,620427,2010,08,1300
144,620428,2010,09,1400
144,620429,2010,10,600
144,620430,2010,11,500
144,620431,2010,12,900
